1203	0.999527	-0.000493	0.534668	0.000493	0.999527	-0.722168
1232	0.998154	-0.000327	1.329041	0.000327	0.998154	-0.216522	
1233	0.998321	-0.000749	1.364868	0.000749	0.998321	-0.561005	
1234	0.997713	-0.000503	1.721680	0.000503	0.997713	-0.435944	
1235	0.998964	-0.000704	1.212585	0.000704	0.998964	-0.947174	
1236	0.998728	-0.000790	1.078735	0.000790	0.998728	-0.661285	
1237	0.998745	-0.000506	1.199646	0.000506	0.998745	-0.385406	
1238	0.998617	-0.000410	0.994873	0.000410	0.998617	-0.423615	
1239	0.999028	-0.000255	0.866882	0.000255	0.999028	-0.460876	
1240	0.998448	-0.000813	0.976257	0.000813	0.998448	-1.087097	
1241	0.998650	-0.000531	1.063599	0.000531	0.998650	-0.670288	
1242	0.998606	-0.000736	1.235718	0.000736	0.998606	-0.559357	
1243	0.999154	-0.000323	0.747620	0.000323	0.999154	-0.769043	
1244	0.999029	-0.000374	0.824524	0.000374	0.999029	-0.310303	
1245	0.999124	-0.000616	0.947388	0.000616	0.999124	-0.864929	
1246	0.997973	-0.000644	1.596558	0.000644	0.997973	-0.745392	
1247	0.998817	-0.000522	1.109924	0.000522	0.998817	-0.565216	
1248	0.999228	-0.000535	0.836792	0.000535	0.999228	-0.722565	
1249	0.999120	-0.000324	1.016174	0.000324	0.999120	-0.744202	
1250	0.999063	-0.000474	0.811096	0.000474	0.999063	-0.737274	
1251	0.999275	-0.000630	0.864624	0.000630	0.999275	-0.802521	
1252	0.998765	-0.000324	1.032532	0.000324	0.998765	-0.485870	
1253	0.998582	-0.000790	1.449951	0.000790	0.998582	-1.196335	
1254	0.998151	-0.000711	1.306763	0.000711	0.998151	-0.642715	
1255	0.998284	-0.000360	1.415649	0.000360	0.998284	-0.955612	
1256	0.998802	-0.000580	0.878662	0.000580	0.998802	-0.602615	
1257	0.998243	-0.000879	1.198547	0.000879	0.998243	-0.919434	
1258	0.998325	-0.000774	1.431213	0.000774	0.998325	-0.914429	
1259	0.998490	-0.000822	1.256531	0.000822	0.998490	-1.030121	
1260	0.998267	-0.000330	1.115295	0.000330	0.998267	-0.435760	
1261	0.998986	-0.000794	0.979797	0.000794	0.998986	-0.920380	
1262	0.997937	-0.000255	1.263123	0.000255	0.997937	-0.666901	
1263	0.999622	-0.000223	0.450623	0.000223	0.999622	-0.685669	
1264	0.998776	-0.000589	1.055725	0.000589	0.998776	-1.015930	
1265	0.998558	-0.000657	1.176147	0.000657	0.998558	-0.638977	
1266	0.998760	-0.000525	1.046448	0.000525	0.998760	-0.732697	
1267	0.999187	-0.000589	0.864014	0.000589	0.999187	-0.747925	
1268	0.998240	-0.000438	1.297241	0.000438	0.998240	-0.549561	
1269	0.998496	-0.000233	1.085266	0.000233	0.998496	-0.692825	
1270	0.997880	-0.000445	1.541321	0.000445	0.997880	-0.657410	
1271	0.998103	-0.000451	1.222717	0.000451	0.998103	-0.535828	
1272	0.998601	-0.000584	0.739746	0.000584	0.998601	-0.588898	
1273	0.999671	-0.000217	0.241638	0.000217	0.999671	-0.584900	
1274	0.998899	-0.000510	0.966553	0.000510	0.998899	-0.661957	
1275	0.998914	-0.000517	1.049744	0.000517	0.998914	-0.699860	
1276	0.998860	0.000000	0.770752	-0.000000	0.998860	-0.472534	
1277	0.999102	-0.000744	1.070862	0.000744	0.999102	-1.200684	
1278	0.997893	-0.000576	1.408569	0.000576	0.997893	-0.485199	
1279	0.998624	-0.000702	1.008362	0.000702	0.998624	-0.949799	
1280	0.998053	0.000004	1.182373	-0.000004	0.998053	-0.340973	
1281	0.998069	-0.000636	1.502319	0.000636	0.998069	-0.872589	
1282	0.998586	-0.000733	1.131409	0.000733	0.998586	-0.704987	
1283	0.998758	-0.000679	1.013000	0.000679	0.998758	-0.456970	
1284	0.998209	-0.000520	1.308472	0.000520	0.998209	-0.452118	
1285	0.998915	-0.000675	1.053345	0.000675	0.998915	-0.878571	
1286	0.998502	-0.000409	1.240173	0.000409	0.998502	-0.593262	
1287	0.999784	-0.000198	0.319702	0.000198	0.999784	-0.611969	
1288	0.998067	-0.000654	1.417847	0.000654	0.998067	-0.565247	
1289	0.998635	-0.000941	1.039917	0.000941	0.998635	-0.783936	
1290	0.998421	-0.000558	1.323975	0.000558	0.998421	-0.449097	
1291	0.998308	-0.000725	1.435486	0.000725	0.998308	-0.656494	
1292	0.998088	-0.000989	1.152527	0.000989	0.998088	-0.922028	
1293	0.999011	-0.000722	0.753174	0.000722	0.999011	-0.738205	
1294	0.998371	-0.000100	1.282837	0.000100	0.998371	-0.465790	
1295	0.997823	-0.000707	1.641296	0.000707	0.997823	-0.920410	
1296	0.998142	-0.000810	1.340454	0.000810	0.998142	-0.645447	
1297	0.998967	-0.000348	1.060364	0.000348	0.998967	-1.033249	
1298	0.998305	-0.000311	1.315857	0.000311	0.998305	-0.638550	
1299	0.999090	-0.000896	0.723389	0.000896	0.999090	-0.871338	
1300	0.999541	-0.000317	0.400024	0.000317	0.999541	-0.460144	
1301	0.998608	-0.000598	1.259216	0.000598	0.998608	-0.742767	
1302	0.998748	-0.000588	1.165833	0.000588	0.998748	-0.892883	
1303	0.999247	-0.000237	0.838501	0.000237	0.999247	-0.973724	
1304	0.998304	-0.000780	1.372498	0.000780	0.998304	-0.933167	
1305	0.999700	-0.000297	0.528442	0.000297	0.999700	-1.045288	
1306	0.998352	-0.000882	1.372070	0.000882	0.998352	-1.049942	
1307	0.997731	-0.000540	1.707214	0.000540	0.997731	-0.765259	
1308	0.998122	-0.000489	1.343445	0.000489	0.998122	-0.586151	
1309	0.999146	-0.000399	0.897278	0.000399	0.999146	-1.132416	
1310	0.999190	-0.000416	0.845581	0.000416	0.999190	-0.544464	
1311	0.999052	-0.000765	0.875122	0.000765	0.999052	-1.245850	
1312	0.999142	-0.000660	0.720581	0.000660	0.999142	-0.584869	
1313	0.998648	-0.000482	0.948364	0.000482	0.998648	-0.702545	
1314	0.998122	-0.000550	1.239807	0.000550	0.998122	-0.563751	
1315	0.999339	0.000025	0.518433	-0.000025	0.999339	-0.572052	
1316	0.999447	-0.000042	0.485046	0.000042	0.999447	-0.755310	
1317	0.998897	-0.000882	0.841797	0.000882	0.998897	-1.078430	
1318	0.998700	-0.000217	0.945618	0.000217	0.998700	-0.790192	
1319	0.999502	-0.000587	0.653381	0.000587	0.999502	-0.559814	
1320	0.998681	-0.000195	0.899109	0.000195	0.998681	-0.655914	
1321	0.999280	-0.000677	0.673767	0.000677	0.999280	-0.851715	
1322	0.998144	-0.000315	1.458252	0.000315	0.998144	-0.712997	
1323	0.998637	-0.000447	1.201721	0.000447	0.998637	-0.784271	
1324	0.998541	-0.000608	1.159119	0.000608	0.998541	-0.880127	
1325	0.999512	-0.000055	0.490234	0.000055	0.999512	-0.678680	
1326	0.998857	-0.000614	1.118530	0.000614	0.998857	-0.656921	
1327	0.998404	-0.000961	1.174133	0.000961	0.998404	-0.983734	
1328	0.998959	-0.000416	0.825867	0.000416	0.998959	-0.675629	
1329	0.999493	-0.000439	0.503540	0.000439	0.999493	-0.673431	
1330	0.999626	-0.000414	0.414185	0.000414	0.999626	-0.568390	
1331	0.997840	-0.000196	1.458984	0.000196	0.997840	-0.505463	
1332	0.999868	-0.000122	0.226318	0.000122	0.999868	-0.725586	
1333	0.998349	-0.000151	1.171875	0.000151	0.998349	-0.488098	
1334	0.999051	-0.000288	0.779358	0.000288	0.999051	-0.618408	
1335	0.999499	-0.000336	0.530090	0.000336	0.999499	-0.532715	
1336	0.998828	-0.000403	1.023865	0.000403	0.998828	-0.480133	
1337	0.999560	-0.000421	0.595215	0.000421	0.999560	-0.677826	
1338	0.998340	-0.000545	1.407898	0.000545	0.998340	-0.718597	
1339	0.999128	-0.000523	0.889099	0.000523	0.999128	-0.576691	
1340	0.998591	-0.000875	1.100647	0.000875	0.998591	-0.675629	
1341	0.999564	-0.000439	0.324890	0.000439	0.999564	-0.380249	
1342	0.998791	-0.000647	1.068115	0.000647	0.998791	-0.726288	
1343	0.999111	-0.000700	0.872620	0.000700	0.999111	-1.051361	
1344	0.999156	-0.000600	0.798645	0.000600	0.999156	-0.565979	
1345	0.999644	-0.000219	0.244690	0.000219	0.999644	-0.295563	
1346	0.998365	-0.000497	0.989197	0.000497	0.998365	-0.475128	
1347	0.998913	-0.000634	0.923279	0.000634	0.998913	-0.623932	
1348	0.999372	-0.000342	0.464844	0.000342	0.999372	-0.291443	
1349	0.997828	-0.000540	1.317810	0.000540	0.997828	-0.495880	
1350	0.998284	-0.000712	1.263794	0.000712	0.998284	-0.754364	
1351	0.999103	-0.000715	0.781311	0.000715	0.999103	-0.602661	
1352	0.997736	-0.000971	1.374512	0.000971	0.997736	-0.621918	
1353	0.998750	-0.001104	1.086731	0.001104	0.998750	-0.991608	
1354	0.998173	-0.000364	1.428284	0.000364	0.998173	-0.299683	
1355	0.999013	-0.000098	0.867920	0.000098	0.999013	-0.741180	
1356	0.999402	-0.000512	0.713806	0.000512	0.999402	-0.636780	
1357	0.998540	-0.000869	1.434021	0.000869	0.998540	-0.947845	
1358	0.998523	-0.000543	1.317139	0.000543	0.998523	-0.653168	
1359	0.999503	-0.000166	0.478699	0.000166	0.999503	-0.587708	
1360	0.999463	-0.000267	0.484192	0.000267	0.999463	-0.456390	
1361	0.998820	-0.000628	0.980042	0.000628	0.998820	-0.715363	
1362	0.998759	-0.000339	1.216125	0.000339	0.998759	-0.411133	
1363	0.998741	-0.000336	1.129150	0.000336	0.998741	-0.462250	
1364	0.998601	-0.000613	1.112854	0.000613	0.998601	-0.741638	
1365	0.999329	-0.000319	0.656250	0.000319	0.999329	-0.559814	
1366	0.998938	-0.000707	1.172607	0.000707	0.998938	-0.730865	
1367	0.998230	-0.000335	1.248169	0.000335	0.998230	-0.559509	
1368	0.998899	-0.000686	1.096802	0.000686	0.998899	-0.834198	
1369	0.998929	-0.000696	1.101501	0.000696	0.998929	-0.714264	
1370	0.999101	-0.000368	0.712646	0.000368	0.999101	-0.580963	
1371	0.998677	-0.000880	1.118286	0.000880	0.998677	-0.864075	
1372	0.998333	-0.000697	1.210266	0.000697	0.998333	-0.653015	
1373	0.999941	-0.000431	0.062378	0.000431	0.999941	-0.717926	
1374	0.999027	-0.000313	0.621033	0.000313	0.999027	-0.264313	
1375	0.998577	-0.000704	1.124084	0.000704	0.998577	-0.726166	
1376	0.998224	-0.000690	1.196045	0.000690	0.998224	-0.736938	
1377	0.999768	-0.000327	0.353088	0.000327	0.999768	-0.663330	
1378	0.998608	-0.001120	1.066345	0.001120	0.998608	-0.988617	
1379	0.998751	-0.000969	1.046082	0.000969	0.998751	-0.803619	
1380	0.998747	-0.000904	0.652710	0.000904	0.998747	-0.568024	
1381	0.999125	-0.000302	0.729614	0.000302	0.999125	-0.331390	
1382	0.998686	-0.000660	1.288391	0.000660	0.998686	-0.733856	
1383	0.998728	-0.000765	1.488892	0.000765	0.998728	-1.054443	
1384	0.999103	-0.000867	0.856018	0.000867	0.999103	-0.831451	
1385	0.999541	-0.000458	0.688354	0.000458	0.999541	-0.542511	
1386	0.997834	-0.000457	1.670776	0.000457	0.997834	-0.513000	
1387	0.999020	-0.000745	0.952515	0.000745	0.999020	-1.045074	
1388	0.999337	-0.000332	0.701721	0.000332	0.999337	-0.284851	
1389	0.998609	-0.000672	1.450317	0.000672	0.998609	-0.830841	
1390	0.997994	-0.000442	1.446655	0.000442	0.997994	-0.387146	
1391	0.998033	-0.000402	1.404480	0.000402	0.998033	-0.495819	
1392	0.998186	-0.000909	1.161804	0.000909	0.998186	-0.552856	
1393	0.999366	-0.000400	0.557556	0.000400	0.999366	-0.329132	
1394	0.998644	-0.000756	1.046875	0.000756	0.998644	-0.590820	
1395	0.998617	-0.000571	1.242004	0.000571	0.998617	-0.531708	
1396	0.998827	-0.001080	1.208374	0.001080	0.998827	-1.115387	
1397	0.999264	-0.000398	0.759094	0.000398	0.999264	-0.341370	
1398	0.998479	-0.000630	1.381775	0.000630	0.998479	-0.478424	
1399	0.998455	-0.000407	1.153809	0.000407	0.998455	-0.345734	
1400	0.999474	-0.000515	0.504333	0.000515	0.999474	-0.391998	
1401	0.999583	-0.000450	0.487915	0.000450	0.999583	-0.406097	
1402	0.997444	-0.000317	1.891663	0.000317	0.997444	-0.386078	
1403	0.998951	-0.000522	1.005066	0.000522	0.998951	-0.475830	
1404	0.998017	-0.000609	1.225586	0.000609	0.998017	-0.197784	
1405	0.998245	-0.000321	1.257812	0.000321	0.998245	-0.499939	
1406	0.998057	-0.000552	1.276611	0.000552	0.998057	-0.435028	
1407	0.998803	-0.001065	1.014832	0.001065	0.998803	-1.154938	
1408	0.998720	-0.000707	0.970764	0.000707	0.998720	-0.390625	
1409	0.998061	-0.000763	1.303772	0.000763	0.998061	-0.798126	
1410	0.998465	-0.000391	1.090881	0.000391	0.998465	-0.115417	
1411	0.998308	-0.000658	1.257507	0.000658	0.998308	-0.629639	
1412	0.998264	-0.000614	1.299255	0.000614	0.998264	-0.521576	
1413	0.998726	-0.000457	1.196777	0.000457	0.998726	-0.461945	
1414	0.998211	-0.000543	1.458069	0.000543	0.998211	-0.261505	
1415	0.998195	-0.000833	1.548523	0.000833	0.998195	-0.550964	
1416	0.999592	-0.000122	0.467041	0.000122	0.999592	-0.452209	
1417	0.997914	-0.000442	1.414612	0.000442	0.997914	-0.699371	
1418	0.999468	-0.000290	0.612305	0.000290	0.999468	-0.332703	
1419	0.999186	-0.000430	0.674377	0.000430	0.999186	-0.323334	
1420	0.998227	-0.000767	1.424316	0.000767	0.998227	-0.774811	
1421	0.997812	-0.000572	1.560303	0.000572	0.997812	-0.616180	
1422	0.997721	-0.000755	1.293213	0.000755	0.997721	-0.463837	
1423	0.999058	-0.000536	0.863403	0.000536	0.999058	-0.552063	
1424	0.998515	-0.000486	1.270996	0.000486	0.998515	-0.490143	
1425	0.998687	-0.000266	1.144592	0.000266	0.998687	-0.371918	
1426	0.999160	-0.000635	0.816772	0.000635	0.999160	-0.658401	
1427	0.998319	-0.000432	1.362061	0.000432	0.998319	-0.433228	
1428	0.998376	-0.000734	1.316223	0.000734	0.998376	-0.626556	
1429	0.999147	-0.000605	0.696838	0.000605	0.999147	-0.704315	
1430	0.998982	-0.000555	0.913940	0.000555	0.998982	-0.624603	
1431	0.999620	-0.000345	0.548584	0.000345	0.999620	-0.445984	
1432	0.997848	-0.000527	1.376221	0.000527	0.997848	-0.486969	
1433	0.999401	-0.000486	0.646851	0.000486	0.999401	-0.700348	
1434	0.999153	-0.000214	0.787903	0.000214	0.999153	-0.238586	
1435	0.998374	-0.000747	1.183716	0.000747	0.998374	-0.745117	
1436	0.998410	-0.000449	1.048645	0.000449	0.998410	-0.436310	
1437	0.999223	-0.000434	0.766357	0.000434	0.999223	-0.653473	
1438	0.998398	-0.000614	1.062073	0.000614	0.998398	-0.257080	
1439	0.998546	-0.000514	1.028564	0.000514	0.998546	-0.522034	
1440	0.999127	-0.000381	0.831482	0.000381	0.999127	-0.461548	
1441	0.999914	-0.000282	0.330688	0.000282	0.999914	-0.697998	
1442	0.998715	-0.000615	0.903015	0.000615	0.998715	-0.490967	
1443	0.999514	-0.000317	0.498352	0.000317	0.999514	-0.595703	
1444	0.997796	-0.000289	1.371399	0.000289	0.997796	-0.311493	
1445	0.998986	-0.000505	0.874023	0.000505	0.998986	-0.575211	
1446	0.999538	-0.000260	0.497253	0.000260	0.999538	-0.319153	
1447	0.999660	-0.000432	0.467102	0.000432	0.999660	-0.484192	
1448	0.998139	-0.000777	1.391663	0.000777	0.998139	-0.558716	
1449	0.998765	-0.000640	1.051880	0.000640	0.998765	-0.596344	
1450	0.997916	-0.000654	1.314087	0.000654	0.997916	-0.432526	
1451	0.999033	-0.000741	0.942627	0.000741	0.999033	-0.750549	
1452	0.999170	-0.000363	0.721313	0.000363	0.999170	-0.271606	
1453	0.999331	-0.000805	0.892090	0.000805	0.999331	-1.033051	
1454	0.999493	-0.000357	0.607239	0.000357	0.999493	-0.521790	
1455	0.998320	-0.000620	1.429810	0.000620	0.998320	-0.828033	
1456	0.997809	-0.000236	1.484741	0.000236	0.997809	-0.175934	
1457	0.999913	-0.000422	0.184631	0.000422	0.999913	-0.643921	
1458	0.997686	-0.000496	1.518005	0.000496	0.997686	-0.226929	
1459	0.998661	-0.000772	1.309387	0.000772	0.998661	-0.975677	
1460	0.999036	-0.000410	0.779541	0.000410	0.999036	-0.361023	
1461	0.999004	-0.000658	1.102966	0.000658	0.999004	-0.797729	
1462	0.998143	-0.000748	1.251831	0.000748	0.998143	-0.642670	
1463	0.998186	-0.000391	1.316040	0.000391	0.998186	-0.455475	
1464	0.998874	-0.000636	1.044128	0.000636	0.998874	-0.602936	
1465	0.999231	-0.000638	0.973145	0.000638	0.999231	-1.035950	
1466	0.999300	-0.000480	0.882202	0.000480	0.999300	-0.555618	
1467	0.999954	-0.000364	0.323303	0.000364	0.999954	-0.784973	
1468	0.997999	-0.000721	1.390442	0.000721	0.997999	-0.376312	
1469	0.999399	-0.000835	0.592285	0.000835	0.999399	-0.924408	
1470	0.998248	-0.000870	1.082642	0.000870	0.998248	-0.664062	
1471	0.999528	-0.000380	0.514160	0.000380	0.999528	-0.405609	
1472	0.998627	-0.000656	1.166992	0.000656	0.998627	-0.617584	
1473	0.999824	-0.000198	0.264465	0.000198	0.999824	-0.438019	
1474	0.998739	-0.000429	0.941650	0.000429	0.998739	-0.535126	
1475	0.999136	-0.000587	0.830688	0.000587	0.999136	-0.821930	
1476	0.998478	-0.000407	1.129578	0.000407	0.998478	-0.424744	
1477	0.999024	-0.000851	1.027771	0.000851	0.999024	-0.829285	
1478	0.998506	-0.000366	1.157776	0.000366	0.998506	-0.349365	
1479	0.999083	-0.000872	1.188965	0.000872	0.999083	-1.132446	
1480	0.998778	-0.000682	1.128784	0.000682	0.998778	-0.716949	
1481	0.999460	-0.000688	0.680786	0.000688	0.999460	-0.765411	
1482	0.998705	-0.000413	1.064270	0.000413	0.998705	-0.376678	
1483	0.999694	-0.000474	0.438477	0.000474	0.999694	-0.600067	
1484	0.998144	-0.000268	1.205872	0.000268	0.998144	-0.183289	
1485	0.998543	-0.000886	1.124878	0.000886	0.998543	-0.663300	
1486	0.997973	-0.000550	1.332397	0.000550	0.997973	-0.400452	
1487	0.999576	-0.000619	0.696838	0.000619	0.999576	-0.662506	
1488	0.997990	-0.000473	1.287537	0.000473	0.997990	-0.224213	
1489	0.999167	-0.000905	0.825989	0.000905	0.999167	-0.822357	
1490	0.998195	-0.000763	1.168884	0.000763	0.998195	-0.539124	
1491	0.998852	-0.000739	1.277161	0.000739	0.998852	-0.745331	
1492	0.998502	-0.001138	1.388184	0.001138	0.998502	-0.999939	
1493	0.998536	-0.001325	1.201599	0.001325	0.998536	-0.989563	
1494	0.999510	-0.000354	0.483032	0.000354	0.999510	-0.366852	
1495	0.998893	-0.000968	0.935547	0.000968	0.998893	-0.470490	
1496	0.998100	-0.000480	1.112000	0.000480	0.998100	-0.224884	
1497	0.999815	-0.000212	0.101318	0.000212	0.999815	-0.296478	
1498	0.998640	-0.000516	1.295654	0.000516	0.998640	-0.531006	
1499	0.999625	-0.000476	0.649597	0.000476	0.999625	-0.743469	
1500	0.999608	-0.000321	0.352600	0.000321	0.999608	-0.547729	
1501	0.998764	-0.000635	1.255920	0.000635	0.998764	-0.668579	
1502	0.998623	-0.000848	1.325867	0.000848	0.998623	-0.685028	
1503	0.998731	-0.000590	1.062317	0.000590	0.998731	-0.636627	
1504	0.998697	-0.000708	1.108765	0.000708	0.998697	-0.813507	
1505	0.998463	-0.000658	1.229492	0.000658	0.998463	-0.629364	
1506	0.998108	-0.000721	1.330139	0.000721	0.998108	-0.815826	
1507	0.998832	-0.000333	0.992432	0.000333	0.998832	-0.304382	
1508	0.998335	-0.000458	1.111145	0.000458	0.998335	-0.206604	
1509	0.998764	-0.000864	0.850037	0.000864	0.998764	-0.968811	
1510	0.999249	-0.000461	1.009033	0.000461	0.999249	-0.353851	
1511	0.999666	-0.000598	0.817810	0.000598	0.999666	-0.853363	
1512	0.997947	-0.000488	1.652283	0.000488	0.997947	-0.591461	
1513	0.998898	-0.000351	1.105408	0.000351	0.998898	-0.635986	
1514	0.998319	-0.000970	1.520081	0.000970	0.998319	-1.084625	
1515	0.999674	-0.000407	0.686829	0.000407	0.999674	-0.689758	
1516	0.999249	-0.000413	0.484436	0.000413	0.999249	-0.271667	
1517	0.998297	-0.000866	1.259827	0.000866	0.998297	-0.805054	
1518	0.998708	-0.000538	1.112427	0.000538	0.998708	-0.485748	
1519	0.999267	-0.000618	0.950684	0.000618	0.999267	-0.929352	
1520	0.998275	-0.000782	1.384216	0.000782	0.998275	-0.782410	
1521	0.998088	-0.000038	1.530029	0.000038	0.998088	-0.390869	
1522	0.999144	-0.000478	1.040588	0.000478	0.999144	-0.867126	
1523	0.998662	-0.001018	1.280701	0.001018	0.998662	-0.924316	
1524	0.999068	-0.000426	0.942322	0.000426	0.999068	-0.477478	
1525	0.999623	-0.000493	0.720276	0.000493	0.999623	-0.664795	
1526	0.998747	-0.000771	1.110962	0.000771	0.998747	-1.006104	
1527	0.998396	-0.000694	1.059814	0.000694	0.998396	-0.666290	
1528	0.998656	-0.000659	1.109192	0.000659	0.998656	-0.618866	
1529	0.999315	-0.000624	0.613831	0.000624	0.999315	-1.241913	
1530	0.998096	-0.000881	1.457825	0.000881	0.998096	-0.652832	
1531	0.998575	-0.000474	1.219727	0.000474	0.998575	-0.678680	
1532	0.998875	-0.000702	1.117554	0.000702	0.998875	-0.815826	
1533	0.998599	-0.001207	1.436951	0.001207	0.998599	-1.133759	
1534	0.998668	-0.000873	1.068115	0.000873	0.998668	-1.047241	
1535	0.998900	-0.000647	1.044128	0.000647	0.998900	-0.778412	
1536	0.997820	-0.000846	1.490479	0.000846	0.997820	-0.696716	
1537	0.999554	-0.000657	0.657959	0.000657	0.999554	-0.938446	
1538	0.999606	-0.000255	0.382141	0.000255	0.999606	-0.586884	
1539	0.998727	-0.000564	1.294495	0.000564	0.998727	-0.797974	
1540	0.999527	-0.000415	0.548401	0.000415	0.999527	-0.638214	
1541	0.999247	-0.000496	0.945862	0.000496	0.999247	-0.731934	
1542	0.999275	-0.000751	0.890015	0.000751	0.999275	-0.764099	
1543	0.999647	-0.000327	0.688538	0.000327	0.999647	-0.776367	
1544	0.998768	-0.000312	0.963928	0.000312	0.998768	-0.476196	
1545	0.998080	-0.000663	1.269226	0.000663	0.998080	-0.527283	
1546	0.998207	-0.000767	1.178467	0.000767	0.998207	-0.489960	
1547	0.999049	-0.000980	0.872559	0.000980	0.999049	-0.888824	
1548	0.999286	-0.000515	0.470947	0.000515	0.999286	-0.455566	
1549	0.999085	-0.000665	0.680725	0.000665	0.999085	-0.667297	
1550	0.999034	-0.000395	0.916382	0.000395	0.999034	-0.510193	
1551	0.999080	-0.000410	1.132385	0.000410	0.999080	-1.058838	
1552	0.999121	-0.000473	0.783508	0.000473	0.999121	-0.787415	
1553	0.998871	-0.000397	1.188477	0.000397	0.998871	-0.661224	
1554	0.999185	-0.000861	0.862366	0.000861	0.999185	-0.865540	
1555	0.998781	-0.000918	0.949341	0.000918	0.998781	-0.842133	
1556	0.997877	-0.000833	1.414062	0.000833	0.997877	-0.632111	
1557	0.998675	-0.000626	1.419128	0.000626	0.998675	-1.125763	
1558	0.998260	-0.000448	1.247620	0.000448	0.998260	-0.417389	
1559	0.998930	-0.000866	1.174377	0.000866	0.998930	-0.985687	
1560	0.998801	-0.000376	1.266418	0.000376	0.998801	-0.658310	
1561	0.999931	-0.000376	0.426758	0.000376	0.999931	-0.723633	
1562	0.999729	-0.000292	0.358948	0.000292	0.999729	-0.419159	
1563	0.998455	-0.000787	1.283386	0.000787	0.998455	-0.836487	
1564	0.999422	-0.000420	0.854492	0.000420	0.999422	-0.584808	
1565	1.000044	-0.000147	0.393921	0.000147	1.000044	-1.047485	
1566	0.999387	-0.000156	0.900635	0.000156	0.999387	-0.459503	
1567	0.999905	-0.000064	0.586121	0.000064	0.999905	-0.644516	
1568	0.998316	-0.000766	1.287537	0.000766	0.998316	-0.792313	
1569	0.997938	-0.000574	1.654663	0.000574	0.997938	-0.634735	
1570	0.999408	-0.000315	0.805542	0.000315	0.999408	-0.380219	
1571	0.999983	-0.000411	0.796570	0.000411	0.999983	-0.964813	
1572	0.998554	-0.000543	1.256592	0.000543	0.998554	-0.929855	
1573	0.999241	-0.000932	1.040100	0.000932	0.999241	-1.087372	
1574	0.999415	-0.000497	0.697693	0.000497	0.999415	-0.580902	
1575	0.998894	-0.000674	1.030518	0.000674	0.998894	-0.665039	
1576	0.999414	-0.000451	0.632935	0.000451	0.999414	-0.722076	
1577	0.998385	-0.000114	1.433838	0.000114	0.998385	-0.954178	
1578	0.999609	-0.000276	0.624817	0.000276	0.999609	-0.672363	
1579	0.998921	-0.000780	1.130615	0.000780	0.998921	-1.144730	
1580	0.999797	-0.000311	0.461670	0.000311	0.999797	-0.471130	
1581	0.999926	-0.000286	0.626099	0.000286	0.999926	-0.990326	
1582	0.998146	-0.000957	1.643005	0.000957	0.998146	-1.163269	
1583	0.998132	-0.001372	1.856323	0.001372	0.998132	-1.334534	
1584	0.999152	-0.000772	1.144897	0.000772	0.999152	-1.001190	
1585	0.998533	-0.000665	1.372253	0.000665	0.998533	-1.171356	
1586	0.999859	-0.000207	0.518188	0.000207	0.999859	-1.015259	
1587	0.999182	-0.000655	1.032898	0.000655	0.999182	-0.895630	
1588	0.999118	-0.000625	0.716248	0.000625	0.999118	-0.951813	
1589	0.999825	-0.000427	0.473389	0.000427	0.999825	-0.739319	
